A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
,,p2 dedicated host 1 year 100% Upfront,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p2 dedicated 1y.100Up,,,,,88389,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,732,,,,,25/5,,,"Prices for US East region. Other regions prices may differ. This is the average monthly payment over the course of the Dedicated Host Reservation term. For each month, the actual monthly payment will equal the actual number of hours in that month multiplied by the hourly usage rate. The hourly usage rate is equivalent to the total average monthly payments over the term divided by the total number of hours (based on a 365 day year) over the term.",19,,
,,p2 dedicated host 3 years no Upfront,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p2 dedicated 3y.,,,,5896.94,,,,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,732,,,,,25/5,,,"Prices for US East region. Other regions prices may differ. This is the average monthly payment over the course of the Dedicated Host Reservation term. For each month, the actual monthly payment will equal the actual number of hours in that month multiplied by the hourly usage rate. The hourly usage rate is equivalent to the total average monthly payments over the term divided by the total number of hours (based on a 365 day year) over the term.",20,,
,,p2 dedicated host 3 years  100% Upfront,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p2 dedicated 3y.100Up,,,,,,,184780,USD,2.6496,69.92,K80,8,Xeon E5-2686 v4,2,732,,,,,25/5,,,Prices for US East region. Other regions prices may differ. ,21,,
,,p3 dedicated host 1 year on Upfront,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p3 dedicated 1y.,,,,13415.94,,,,USD,2.6496,112.224,V100,8,Xeon E5-2686 v4,2,488,,,,,25/5,,,"Prices for US East region. Other regions prices may differ. This is the average monthly payment over the course of the Dedicated Host Reservation term. For each month, the actual monthly payment will equal the actual number of hours in that month multiplied by the hourly usage rate. The hourly usage rate is equivalent to the total average monthly payments over the term divided by the total number of hours (based on a 365 day year) over the term.",22,,
,,p3 dedicated host 1 year 100% Upfront,https://aws.amazon.com/ec2/dedicated-hosts/pricing/,AZ p3 dedicated 1y.100Up,,,,,150261,,,USD,2.6496,112.224,V100,8,Xeon E5-2686 v4,2,488,,,,,25/5,,,Prices for US East region. Other regions prices may differ. ,23,,
IBM,https://www.ibm.com/cloud-computing/bluemix/gpu-computing,V100 2620,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=13133472012515151783831&cm_mc_sid_50200000=1517002889&cm_mc_sid_52640000=,IBM V100 2620,,,,1819,,,,USD,1.0752,14.028,V100,1,Xeon E5-2620 v4,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,29,,
,,V100 2650,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=13133472012515151783831&cm_mc_sid_50200000=1517002889&cm_mc_sid_52640001=,IBM V100 2650,,,,1899,,,,USD,1.6896,14.028,V100,1,Xeon E5-2650 v4,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,30,,
,,V100 2690,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=13133472012515151783831&cm_mc_sid_50200000=1517002889&cm_mc_sid_52640002=,IBM V100 2690,,,,1989,,,,USD,2.3296,14.028,V100,1,Xeon E5-2690 v4,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,31,,
,,P100 E5-2620v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792638,IBM P100 E5-2620v4,,,,1569,,,,USD,1.0752,9.34,P100,1,Xeon E5-2620 v4,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,32,,
,,P100 E5-2650v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792639,IBM P100 E5-2650v4,,,,1649,,,,USD,1.6896,9.34,P100,1,Xeon E5-2650 v4,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,33,,
