A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
,,32c208mK80x4,,GL 32c208mK80x4,,3.79,,,,,,USD,1.1264,17.48,K80,2,,32,208,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",130,,
,,64c416mK80x8,,GL 64c416mK80x8,,7.61,,,,,,USD,2.2528,34.96,K80,4,,64,416,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",131,,
,,8c52mP100,,GL 8c52mP100,,2,,,,,,USD,0.2816,9.34,P100,1,,8,52,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",132,,
,,24c156mP100x2,,GL 24c156mP100x2,,4.45,,,,,,USD,0.8448,18.68,P100,2,,24,156,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",133,,
,,64c416mP100x4,,GL 64c416mP100x4,,9.85,,,,,,USD,2.2528,37.36,P100,4,,64,416,SSD,375,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",134,,
,,8c30mP4x1,,GL 8c30mP4x1,,0.709,,,,,,USD,0.2816,5.443,P4,1,,8,30,SSD,100,,,,,,"Prices for Iowa region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",135,,
,,8c30mT4x1,,GL 8c30mT4x1,,0.954,,,,,,USD,0.2816,8.1,T4,1,,8,30,SSD,100,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",136,,
,,8c30mV100x1,,GL 8c30mV100x1,,2.025,,,,,,USD,0.2816,14.028,V100,1,,8,30,SSD,100,,,,,,"Prices for Oregon region, custom machine types. Virtual CPU is implemented as a single hardware hyper-thread. CPU performance is calculated for a 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>Assumption: CPU considered to have 2 hyper threads per physical core",137,,
IDCF,https://www.idcf.jp/service/deeplearning/,GPU.7XL P100,,IDCF P100,,440,,,,220000,,JPY,2.24,9.34,P100,1,,2,256,SSD,2100,,,,,,"3.24GB of network traffic included with 10 JPY per additional 1 GB, or 100Mbps unlimited traffic for a flat monthly rate of 30000 JPY.",139,,
,,GPU.7XL M40,,IDCF M40,,400,,,,198000,,JPY,2.24,6.844,M40,1,,2,256,SSD,2100,,,,,,"3.24GB of network traffic included with 10 JPY per additional 1 GB, or 100Mbps unlimited traffic for a flat monthly rate of 30001 JPY.",140,,
Tsubame 2.5,http://tsubame.gsic.titech.ac.jp/en/paid-services,S,,Tsub.S,,,,,480000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,54,SSD,50,,,80/,3000,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,145,,
,,S open,,Tsub.S open,,,,,120000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,54,SSD,50,,,80/,3000,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,146,,
,,S96,,Tsub.S96,,,,,480000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,96,SSD,50,,,80/,2500,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,147,,
,,S96 open,,Tsub.S96 open,,,,,120000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,96,SSD,50,,,80/,2500,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,148,,
,,G,,Tsub.G,,,,,480000,,,JPY,0.09376,10.572,K20,3,Xeon X5670,0.666666667,25,SSD,30,,,80/,6000,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,149,,
,,G open,,Tsub.G open,,,,,120000,,,JPY,0.09376,10.572,K20,3,Xeon X5670,0.666666667,25,SSD,30,,,80/,6000,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day. Maximum job run time is 4 days.,150,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
